slug,nomor,tahun,tentang,source_url,pdf_url,local_pdf_path
perppu-no-13-tahun-1959,13,1959,PENGUBAHAN DAN TAMBAHAN ORDONANSI PAJAK PERSEROAN 1925 (STAATSBLAD 1925 NO. 319),https://peraturan.go.id/id/perppu-no-13-tahun-1959,https://peraturan.go.id/files/PERPUNomor13Tahun1959_PERPUNomor13Tahun1959.pdf,
perppu-no-14-tahun-1959,14,1959,KENAIKAN CUKAI TEMBAKAU,https://peraturan.go.id/id/perppu-no-14-tahun-1959,https://peraturan.go.id/files/PERPUNomor14Tahun1959_PERPUNomor14Tahun1959.pdf,
perppu-no-15-tahun-1959,15,1959,KENAIKAN TARIF CUKAI ATAS BIR DAN ALKOHOL SULINGAN DAN KENAIKAN BEA-MASUK ATAS BIR,https://peraturan.go.id/id/perppu-no-15-tahun-1959,https://peraturan.go.id/files/PERPUNomor15Tahun1959_PERPUNomor15Tahun1959.pdf,
perppu-no-16-tahun-1959,16,1959,PERUBAHAN DAN TAMBAHAN ORDONANSI PAJAK PENDAPATAN 1944 (STAATSBLAD 1944 NO. 17),https://peraturan.go.id/id/perppu-no-16-tahun-1959,https://peraturan.go.id/files/PERPUNomor16Tahun1959_PERPUNomor16Tahun1959.pdf,
perppu-no-17-tahun-1959,17,1959,PENGUBAHAN DAN TAMBAHAN ORDONANSI PAJAK UPAH (STAATSBLAD 1934 NO. 611),https://peraturan.go.id/id/perppu-no-17-tahun-1959,https://peraturan.go.id/files/PERPUNomor17Tahun1959_PERPUNomor17Tahun1959.pdf,
perppu-no-18-tahun-1959,18,1959,PENGUBAHAN DAN TAMBAHAN ATURAN BEA METERAI 1921,https://peraturan.go.id/id/perppu-no-18-tahun-1959,https://peraturan.go.id/files/PERPUNomor18Tahun1959_PERPUNomor18Tahun1959.pdf,
perppu-no-19-tahun-1959,19,1959,PENGUBAHAN DAN TAMBAHAN ORDONANSI PAJAK RUMAH TANGGA 1908,https://peraturan.go.id/id/perppu-no-19-tahun-1959,https://peraturan.go.id/files/PERPUNomor19Tahun1959_PERPUNomor19Tahun1959.pdf,
perppu-no-2-tahun-1959,2,1959,"PENURUNAN NILAI UANG KERTAS RP. 500,- DAN RP. 1000,-",https://peraturan.go.id/id/perppu-no-2-tahun-1959,https://peraturan.go.id/files/PERPUNomor2Tahun1959_PERPUNomor2Tahun1959.pdf,
perppu-no-20-tahun-1959,20,1959,PENGUBAHAN DAN TAMBAHAN UNDANG-UNDANG PAJAK PENJUALAN 1951,https://peraturan.go.id/id/perppu-no-20-tahun-1959,https://peraturan.go.id/files/PERPUNomor20Tahun1959_PERPUNomor20Tahun1959.pdf,
perppu-no-21-tahun-1959,21,1959,MEMPERBERAT ANCAMAN HUKUMAN TERHADAP TINDAK PIDANA EKONOMI,https://peraturan.go.id/id/perppu-no-21-tahun-1959,NO_PDF,
perppu-no-22-tahun-1959,22,1959,"PENGUBAHAN NAMA ""MEDALI SEWINDU ANGKATAN PERANG REPUBLIK INDONESIA"" MENJADI ""BINTANG SEWINDU ANGKATAN	PERANG REPUBLIK INDONESIA""",https://peraturan.go.id/id/perppu-no-22-tahun-1959,https://peraturan.go.id/files/PERPUNomor22Tahun1959_PERPUNomor22Tahun1959.pdf,
perppu-no-23-tahun-1959,23,1959,KEADAAN BAHAYA,https://peraturan.go.id/id/perppu-no-23-tahun-1959,NO_PDF,
perppu-no-24-tahun-1959,24,1959,"PERUBAHAN/TAMBAHAN PERATURAN-PERATURAN PEMERINTAH PENGGANTI UNDANG-UNDANG NO. 7, 12, 13, 15, 16, 17, 	18, 19 DAN 20 TAHUN 1959",https://peraturan.go.id/id/perppu-no-24-tahun-1959,https://peraturan.go.id/files/PERPUNomor24Tahun1959.pdf,
perppu-no-25-tahun-1959,25,1959,PENILAIAN PERSEDIAAN UANG EMAS DAN BAHAN UANG EMAS PADA BANK INDONESIA,https://peraturan.go.id/id/perppu-no-25-tahun-1959,https://peraturan.go.id/files/PERPUNomor25Tahun1959.pdf,
perppu-no-26-tahun-1959,26,1959,PINJAMAN KONSOLIDASI TAHUN 1959,https://peraturan.go.id/id/perppu-no-26-tahun-1959,https://peraturan.go.id/files/PERPUNomor26Tahun1959.pdf,
perppu-no-27-tahun-1959,27,1959,BEA BALIK NAMA KENDARAAN BERMOTOR,https://peraturan.go.id/id/perppu-no-27-tahun-1959,https://peraturan.go.id/files/PERPUNomor27Tahun1959.pdf,
perppu-no-28-tahun-1959,28,1959,DASAR PERHITUNGAN MALAYAN-DOLLAR UNTUK MELAKUKAN TARIP PAJAK-PAJAK NEGARA DI DAERAH KEPULAUAN RIAU,https://peraturan.go.id/id/perppu-no-28-tahun-1959,https://peraturan.go.id/files/PERPUNomor28Tahun1959.pdf,
perppu-no-29-tahun-1959,29,1959,PERUBAHAN MASA PEMUNGUTAN PAJAK VERPONDING 	DAN PAJAK BANGSA ASING,https://peraturan.go.id/id/perppu-no-29-tahun-1959,https://peraturan.go.id/files/PERPUNomor29Tahun1959.pdf,
perppu-no-3-tahun-1959,3,1959,PEMBEKUAN SEBAGIAN DARI SIMPANAN PADA BANK-BANK,https://peraturan.go.id/id/perppu-no-3-tahun-1959,https://peraturan.go.id/files/PERPUNomor3Tahun1959.pdf,
perppu-no-4-tahun-1959,4,1959,PENGHAPUSAN SISTEM BUKTI EKSPOR (B.E.),https://peraturan.go.id/id/perppu-no-4-tahun-1959,https://peraturan.go.id/files/PERPUNomor4Tahun1959.pdf,
perppu-no-5-tahun-1959,5,1959,"KETENTUAN DI BIDANG FISKAL MENGENAI PENURUNAN NILAI UANG KERTAS RP. 1.000,- DAN RP. 500,-",https://peraturan.go.id/id/perppu-no-5-tahun-1959,https://peraturan.go.id/files/PERPUNomor5Tahun1959.pdf,
perppu-no-6-tahun-1959,6,1959,"PEMBATASAN WAKTU UNTUK MELAKSANAKAN HAK MENUNTUT PENUKARAN UANG KERTAS BANK PECAHAN-PECAHAN RP. 1.000,- DAN RP. 500,- YANG DENGAN PERATURAN PEMERINTAH PENGGANTI 	UNDANG-UNDANG NO. 2 TAHUN 1959 NILAINYA MASING-MASING	TELAH DITURUNKAN MENJADI RP. 100,- DAN",https://peraturan.go.id/id/perppu-no-6-tahun-1959,https://peraturan.go.id/files/PERPUNomor6Tahun1959.pdf,
perppu-no-7-tahun-1959,7,1959,PENGUBAHAN ORDONANSI PAJAK KEKAYAAN,https://peraturan.go.id/id/perppu-no-7-tahun-1959,https://peraturan.go.id/files/PERPUNomor7Tahun1959.pdf,
perppu-no-8-tahun-1959,8,1959,PENGUBAHAN TARIF PAJAK KENDARAAN BERMOTOR,https://peraturan.go.id/id/perppu-no-8-tahun-1959,https://peraturan.go.id/files/PERPUNomor8Tahun1959__1.pdf,
perppu-no-9-tahun-1959,9,1959,PENGUBAHAN TARIF PAJAK RADIO,https://peraturan.go.id/id/perppu-no-9-tahun-1959,https://peraturan.go.id/files/PERPUNomor9Tahun1959.pdf,
perppu-no-1-tahun-1960,1,1960,"PENAMBAHAN UU DRT 7-1955 (LN 1955-27) YANG DITAMBAH DENGAN UU DRT 8-1958 (LN 1958-156) TENTANG PENGUSUTAN, PENUNTUTAN DAN PERADILAN TINDAK PIDANA EKONOMI",https://peraturan.go.id/id/perppu-no-1-tahun-1960,NO_PDF,
perppu-no-10-tahun-1960,10,1960,"PEJABAT YANG MENJALANKAN PEKERJAAN JABATAN PRESIDEN, JIKA PRESIDEN MANGKAT BERHENTI ATAU BERHALANGAN, SEDANG WAKIL PRESIDEN TIDAK ADA ATAU BERHALANGAN",https://peraturan.go.id/id/perppu-no-10-tahun-1960,NO_PDF,
perppu-no-11-tahun-1960,11,1960,PERUBAHAN MODAL BANK INDONESIA,https://peraturan.go.id/id/perppu-no-11-tahun-1960,https://peraturan.go.id/files/PERPUNomor11Tahun1960.pdf,
perppu-no-12-tahun-1960,12,1960,PEMBUBARAN PANITYA UNTUK MENYELESAIKAN URUSAN PEMULIHAN HAK,https://peraturan.go.id/id/perppu-no-12-tahun-1960,https://peraturan.go.id/files/PERPUNomor11Tahun1960.pdf,
perppu-no-13-tahun-1960,13,1960,BANK DAGANG NEGARA,https://peraturan.go.id/id/perppu-no-13-tahun-1960,https://peraturan.go.id/files/PERPUNomor13Tahun1960.pdf,
perppu-no-14-tahun-1960,14,1960,PERUBAHAN UNDANG-UNDANG NO. 12 TAHUN 1951 TENTANG PENGHAPUSAN BADAN HUKUM ALGEMENE VOLKSCREDIETBANK,https://peraturan.go.id/id/perppu-no-14-tahun-1960,https://peraturan.go.id/files/PERPUNomor14Tahun1960.pdf,
perppu-no-15-tahun-1960,15,1960,PERUBAHAN UNDANG-UNDANG NO. 78 TAHUN 1958 TENTANG PENANAMAN MODAL ASING,https://peraturan.go.id/id/perppu-no-15-tahun-1960,https://peraturan.go.id/files/PERPUNomor15Tahun1960.pdf,
perppu-no-16-tahun-1960,16,1960,BEBERAPA PERUBAHAN DALAM KITAB UNDANG-UNDANG HUKUM PIDANA,https://peraturan.go.id/id/perppu-no-16-tahun-1960,NO_PDF,
perppu-no-17-tahun-1960,17,1960,PERUBAHAN TARIP-UPAH UNTUK BALAI HARTA PENINGGALAN,https://peraturan.go.id/id/perppu-no-17-tahun-1960,https://peraturan.go.id/files/PERPUNomor17Tahun1960_PERPUNomor17Tahun1960.pdf,
perppu-no-18-tahun-1960,18,1960,PERUBAHAN JUMLAH HUKUMAN DENDA DALAM KITAB UNDANG-UNDANG HUKUM PIDANA DAN ALAM KETENTUAN-KETENTUAN PIDANA LAINNYA YANG DIKELUARKAN SEBELUM TANGGAL 17 GUSTUS 1945,https://peraturan.go.id/id/perppu-no-18-tahun-1960,https://peraturan.go.id/files/PERPUNomor18Tahun1960_PERPUNomor18Tahun1960.pdf,
